Argus v5 (macro + geo-mean K-fold + event delay + slippage) — run v5, budget 10 min, seed 42

Data: 3951 bars, 71 curated events, 3951 macro rows
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Precomputed: indicators + event-state (1d delay) + macro state

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

K-fold: 4 folds within train slice
  Fold 0: 2010-08-18 → 2017-08-27 (650 bars)
  Fold 1: 2017-08-28 → 2019-06-08 (650 bars)
  Fold 2: 2019-06-09 → 2021-03-19 (650 bars)
  Fold 3: 2021-03-20 → 2022-12-31 (652 bars)

Gen    1 | fit   1.116 | fold Calmar  3.67/ 5.25/ 1.70/ 0.05 | fold DD  4/ 0/ 3/ 1%
Gen  676 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  681 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  686 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  691 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  696 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  701 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  706 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  711 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  716 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  721 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  726 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  731 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  736 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  741 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  746 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  751 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  756 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  761 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  766 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  771 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  776 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  781 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  786 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  791 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  796 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  801 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  806 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  811 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  816 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  821 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  826 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  831 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  836 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  841 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  846 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  851 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  856 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  861 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  866 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  871 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  876 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  881 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  886 | fit   8.238 | fold Calmar 27.85/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
