Argus v3 evolution (17-gene reduced) — run v3, budget 5 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

Gen    1 | fit   2.083 | CAGR   72.3% | DD  34.7% | Calmar   2.08 | trades   84 | ✓
Gen  891 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  896 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  901 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  906 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  911 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  916 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  921 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  926 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  931 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  936 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  941 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  946 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  951 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  956 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  961 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  966 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  971 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  976 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
